d3mIndex,timeseries_file,label
132,0132_train_ts.csv,1
133,0133_train_ts.csv,3
134,0134_train_ts.csv,3
135,0135_train_ts.csv,3
136,0136_train_ts.csv,1
137,0137_train_ts.csv,1
138,0138_train_ts.csv,1
139,0139_train_ts.csv,3
140,0140_train_ts.csv,3
141,0141_train_ts.csv,3
142,0142_train_ts.csv,3
143,0143_train_ts.csv,3
144,0144_train_ts.csv,3
145,0145_train_ts.csv,1
146,0146_train_ts.csv,2
147,0147_train_ts.csv,1
148,0148_train_ts.csv,3
149,0149_train_ts.csv,2
150,0150_train_ts.csv,3
151,0151_train_ts.csv,3
152,0152_train_ts.csv,3
153,0153_train_ts.csv,1
154,0154_train_ts.csv,2
155,0155_train_ts.csv,3
156,0156_train_ts.csv,3
157,0157_train_ts.csv,2
158,0158_train_ts.csv,2
159,0159_train_ts.csv,1
160,0160_train_ts.csv,3
161,0161_train_ts.csv,1
162,0162_train_ts.csv,3
163,0163_train_ts.csv,3
164,0164_train_ts.csv,3
165,0165_train_ts.csv,1
166,0166_train_ts.csv,3
167,0167_train_ts.csv,1
168,0168_train_ts.csv,1
169,0169_train_ts.csv,3
170,0170_train_ts.csv,2
171,0171_train_ts.csv,1
172,0172_train_ts.csv,3
173,0173_train_ts.csv,3
174,0174_train_ts.csv,3
175,0175_train_ts.csv,3
176,0176_train_ts.csv,3
177,0177_train_ts.csv,1
178,0178_train_ts.csv,3
179,0179_train_ts.csv,1
180,0180_train_ts.csv,2
181,0181_train_ts.csv,3
182,0182_train_ts.csv,2
183,0183_train_ts.csv,3
184,0184_train_ts.csv,3
185,0185_train_ts.csv,2
186,0186_train_ts.csv,2
187,0187_train_ts.csv,3
188,0188_train_ts.csv,3
189,0189_train_ts.csv,1
190,0190_train_ts.csv,3
191,0191_train_ts.csv,3
192,0192_train_ts.csv,3
193,0193_train_ts.csv,3
194,0194_train_ts.csv,3
195,0195_train_ts.csv,2
196,0196_train_ts.csv,2
197,0197_train_ts.csv,3
198,0198_train_ts.csv,2
199,0199_train_ts.csv,3
200,0200_train_ts.csv,3
201,0201_train_ts.csv,3
202,0202_train_ts.csv,3
203,0203_train_ts.csv,1
204,0204_train_ts.csv,3
205,0205_train_ts.csv,3
206,0206_train_ts.csv,1
207,0207_train_ts.csv,3
208,0208_train_ts.csv,3
209,0209_train_ts.csv,3
210,0210_train_ts.csv,3
211,0211_train_ts.csv,3
212,0212_train_ts.csv,3
213,0213_train_ts.csv,2
214,0214_train_ts.csv,2
215,0215_train_ts.csv,1
216,0216_train_ts.csv,3
217,0217_train_ts.csv,2
218,0218_train_ts.csv,1
219,0219_train_ts.csv,3
220,0220_train_ts.csv,3
221,0221_train_ts.csv,2
222,0222_train_ts.csv,3
223,0223_train_ts.csv,1
224,0224_train_ts.csv,3
225,0225_train_ts.csv,3
226,0226_train_ts.csv,2
227,0227_train_ts.csv,1
228,0228_train_ts.csv,3
229,0229_train_ts.csv,1
230,0230_train_ts.csv,3
231,0231_train_ts.csv,2
232,0232_train_ts.csv,3
233,0233_train_ts.csv,1
234,0234_train_ts.csv,3
235,0235_train_ts.csv,2
236,0236_train_ts.csv,2
237,0237_train_ts.csv,3
238,0238_train_ts.csv,2
239,0239_train_ts.csv,3
240,0240_train_ts.csv,3
241,0241_train_ts.csv,3
242,0242_train_ts.csv,2
243,0243_train_ts.csv,3
244,0244_train_ts.csv,3
245,0245_train_ts.csv,1
246,0246_train_ts.csv,2
247,0247_train_ts.csv,1
248,0248_train_ts.csv,1
249,0249_train_ts.csv,1
250,0250_train_ts.csv,3
251,0251_train_ts.csv,2
252,0252_train_ts.csv,3
253,0253_train_ts.csv,2
254,0254_train_ts.csv,3
255,0255_train_ts.csv,2
256,0256_train_ts.csv,1
257,0257_train_ts.csv,3
258,0258_train_ts.csv,2
259,0259_train_ts.csv,3
260,0260_train_ts.csv,2
261,0261_train_ts.csv,3
262,0262_train_ts.csv,1
263,0263_train_ts.csv,2
264,0264_train_ts.csv,3
265,0265_train_ts.csv,3
266,0266_train_ts.csv,1
267,0267_train_ts.csv,2
268,0268_train_ts.csv,3
269,0269_train_ts.csv,3
270,0270_train_ts.csv,1
271,0271_train_ts.csv,3
272,0272_train_ts.csv,3
273,0273_train_ts.csv,2
274,0274_train_ts.csv,1
275,0275_train_ts.csv,3
276,0276_train_ts.csv,1
277,0277_train_ts.csv,3
278,0278_train_ts.csv,2
279,0279_train_ts.csv,3
280,0280_train_ts.csv,1
281,0281_train_ts.csv,3
282,0282_train_ts.csv,3
283,0283_train_ts.csv,3
284,0284_train_ts.csv,1
285,0285_train_ts.csv,1
286,0286_train_ts.csv,3
287,0287_train_ts.csv,2
288,0288_train_ts.csv,3
289,0289_train_ts.csv,2
290,0290_train_ts.csv,3
291,0291_train_ts.csv,2
292,0292_train_ts.csv,3
293,0293_train_ts.csv,3
294,0294_train_ts.csv,1
295,0295_train_ts.csv,3
296,0296_train_ts.csv,3
297,0297_train_ts.csv,1
298,0298_train_ts.csv,3
299,0299_train_ts.csv,2
300,0300_train_ts.csv,3
301,0301_train_ts.csv,1
302,0302_train_ts.csv,2
303,0303_train_ts.csv,1
304,0304_train_ts.csv,3
305,0305_train_ts.csv,3
306,0306_train_ts.csv,3
307,0307_train_ts.csv,1
308,0308_train_ts.csv,1
309,0309_train_ts.csv,1
310,0310_train_ts.csv,3
311,0311_train_ts.csv,3
312,0312_train_ts.csv,3
313,0313_train_ts.csv,2
314,0314_train_ts.csv,3
315,0315_train_ts.csv,1
316,0316_train_ts.csv,3
317,0317_train_ts.csv,2
318,0318_train_ts.csv,1
319,0319_train_ts.csv,1
320,0320_train_ts.csv,1
321,0321_train_ts.csv,2
322,0322_train_ts.csv,1
323,0323_train_ts.csv,1
324,0324_train_ts.csv,3
325,0325_train_ts.csv,3
326,0326_train_ts.csv,3
327,0327_train_ts.csv,3
328,0328_train_ts.csv,3
329,0329_train_ts.csv,3
330,0330_train_ts.csv,2
331,0331_train_ts.csv,2
332,0332_train_ts.csv,2
333,0333_train_ts.csv,3
334,0334_train_ts.csv,3
335,0335_train_ts.csv,2
336,0336_train_ts.csv,3
337,0337_train_ts.csv,3
338,0338_train_ts.csv,1
339,0339_train_ts.csv,1
340,0340_train_ts.csv,1
341,0341_train_ts.csv,3
342,0342_train_ts.csv,3
343,0343_train_ts.csv,3
344,0344_train_ts.csv,3
345,0345_train_ts.csv,1
346,0346_train_ts.csv,3
347,0347_train_ts.csv,1
348,0348_train_ts.csv,3
349,0349_train_ts.csv,3
350,0350_train_ts.csv,3
351,0351_train_ts.csv,1
352,0352_train_ts.csv,3
353,0353_train_ts.csv,3
354,0354_train_ts.csv,3
355,0355_train_ts.csv,1
356,0356_train_ts.csv,3
357,0357_train_ts.csv,3
358,0358_train_ts.csv,1
359,0359_train_ts.csv,2
360,0360_train_ts.csv,3
361,0361_train_ts.csv,3
362,0362_train_ts.csv,2
363,0363_train_ts.csv,2
364,0364_train_ts.csv,3
365,0365_train_ts.csv,3
366,0366_train_ts.csv,1
367,0367_train_ts.csv,3
368,0368_train_ts.csv,3
369,0369_train_ts.csv,2
370,0370_train_ts.csv,3
371,0371_train_ts.csv,3
372,0372_train_ts.csv,3
373,0373_train_ts.csv,3
374,0374_train_ts.csv,1
375,0375_train_ts.csv,2
376,0376_train_ts.csv,3
377,0377_train_ts.csv,3
378,0378_train_ts.csv,1
379,0379_train_ts.csv,3
380,0380_train_ts.csv,3
381,0381_train_ts.csv,1
382,0382_train_ts.csv,3
383,0383_train_ts.csv,3
384,0384_train_ts.csv,3
385,0385_train_ts.csv,3
386,0386_train_ts.csv,1
387,0387_train_ts.csv,3
388,0388_train_ts.csv,3
389,0389_train_ts.csv,3
390,0390_train_ts.csv,3
391,0391_train_ts.csv,2
392,0392_train_ts.csv,3
393,0393_train_ts.csv,2
394,0394_train_ts.csv,3
395,0395_train_ts.csv,3
396,0396_train_ts.csv,1
397,0397_train_ts.csv,3
398,0398_train_ts.csv,2
399,0399_train_ts.csv,1
400,0400_train_ts.csv,3
401,0401_train_ts.csv,3
402,0402_train_ts.csv,3
403,0403_train_ts.csv,3
404,0404_train_ts.csv,3
405,0405_train_ts.csv,3
406,0406_train_ts.csv,2
407,0407_train_ts.csv,3
408,0408_train_ts.csv,1
409,0409_train_ts.csv,2
410,0410_train_ts.csv,3
411,0411_train_ts.csv,1
412,0412_train_ts.csv,3
413,0413_train_ts.csv,2
414,0414_train_ts.csv,3
415,0415_train_ts.csv,3
416,0416_train_ts.csv,3
417,0417_train_ts.csv,1
418,0418_train_ts.csv,3
419,0419_train_ts.csv,1
420,0420_train_ts.csv,2
421,0421_train_ts.csv,3
422,0422_train_ts.csv,3
423,0423_train_ts.csv,3
424,0424_train_ts.csv,3
425,0425_train_ts.csv,3
426,0426_train_ts.csv,3
427,0427_train_ts.csv,3
428,0428_train_ts.csv,1
429,0429_train_ts.csv,1
430,0430_train_ts.csv,3
431,0431_train_ts.csv,3
432,0432_train_ts.csv,3
433,0433_train_ts.csv,3
434,0434_train_ts.csv,3
435,0435_train_ts.csv,2
436,0436_train_ts.csv,1
437,0437_train_ts.csv,2
438,0438_train_ts.csv,3
439,0439_train_ts.csv,1
440,0440_train_ts.csv,1
441,0441_train_ts.csv,1
442,0442_train_ts.csv,3
443,0443_train_ts.csv,3
444,0444_train_ts.csv,1
445,0445_train_ts.csv,3
446,0446_train_ts.csv,3
447,0447_train_ts.csv,3
448,0448_train_ts.csv,2
449,0449_train_ts.csv,2
450,0450_train_ts.csv,3
451,0451_train_ts.csv,3
452,0452_train_ts.csv,1
453,0453_train_ts.csv,2
454,0454_train_ts.csv,3
455,0455_train_ts.csv,2
456,0456_train_ts.csv,3
457,0457_train_ts.csv,3
458,0458_train_ts.csv,2
459,0459_train_ts.csv,1
460,0460_train_ts.csv,1
461,0461_train_ts.csv,3
462,0462_train_ts.csv,3
463,0463_train_ts.csv,3
464,0464_train_ts.csv,2
465,0465_train_ts.csv,1
466,0466_train_ts.csv,2
